TabellarischeAuswertung von: 01.11.2023 00:00:00 bis: 20.11.2023 00:00:00;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [m³/min];Trocknung-Durchfluss  7B Netz 800.1 [m³/min];Trocknung-Durchfluss 7A Netz 700.5 [m³/min];Trocknung-Durchfluss 7A Netz 700.6 [m³/min];Trocknung-Durchfluss 7C Netz 900.1 [m³/min]
04.11.2023 19:07:25;NaN;20,65;18,63;23,74;10,84
04.11.2023 19:22:25;NaN;16,82;14,43;17,37;10,12
04.11.2023 19:37:25;NaN;17,24;15,51;17,23;9,84
04.11.2023 19:52:25;NaN;17,59;15,69;17,46;9,83
04.11.2023 20:07:25;NaN;17,29;16,45;19,11;10,65
04.11.2023 20:22:25;NaN;19,85;17,00;22,40;11,55
04.11.2023 20:37:25;NaN;21,24;18,22;23,46;10,83
04.11.2023 20:52:26;NaN;18,70;17,54;20,02;10,29
04.11.2023 21:07:26;NaN;16,02;15,47;16,81;10,11
04.11.2023 21:22:26;NaN;17,01;14,32;16,72;11,27
04.11.2023 21:37:26;NaN;19,61;17,49;19,75;10,23
04.11.2023 21:52:26;NaN;19,13;15,98;20,44;10,08
04.11.2023 22:07:26;NaN;20,02;19,16;22,94;11,17
04.11.2023 22:22:26;NaN;16,25;15,15;16,96;9,99
04.11.2023 22:37:26;NaN;16,68;16,03;17,14;10,05
04.11.2023 22:52:26;NaN;16,49;15,56;16,98;9,74
04.11.2023 23:07:26;NaN;16,28;14,84;17,34;9,99
04.11.2023 23:22:26;NaN;19,04;17,79;20,60;11,10
04.11.2023 23:37:26;NaN;20,16;17,99;22,06;11,46
04.11.2023 23:52:26;NaN;18,65;18,81;23,17;11,35
05.11.2023 00:07:26;NaN;16,73;26,47;36,90;9,27
05.11.2023 00:22:26;NaN;16,80;17,93;22,63;11,18
05.11.2023 00:37:26;NaN;20,99;24,47;34,81;10,16
